site_id,building_id,primary_use,square_feet,floor_count,row_id,year_built,latent_y,latent_s,latent_r
0,0,Education,7432,1,1,2015,15,3.8711057,0
0,1,Education,2720,1,2,2011,11,3.434569,0
0,2,Education,5376,1,3,1998,2,3.7304592,0
0,3,Education,23685,1,4,2009,9,4.3744736,1
0,5,Education,8000,1,6,2007,7,3.90309,1
0,6,Residential,27926,1,7,1988,12,4.4460087,1
0,8,Education,60809,1,9,2010,10,4.783968,1
0,9,Office,27000,1,10,2017,17,4.4313636,1
1,105,Education,50623,5,106,1974,26,4.005352,2
1,107,Education,97532,10,108,2012,12,3.9891381,2
1,110,Education,27814,8,111,2013,13,3.5410798,2
1,112,Education,32206,6,113,2008,8,3.7297316,2
1,113,Education,100481,9,114,1965,35,4.0478196,2
1,114,Education,139683,13,115,1965,35,4.031166,2
1,116,Education,37265,5,117,1977,23,3.8723311,2
1,117,Education,15489,4,118,2011,11,3.5879354,2
2,156,Community,43681,1,157,2014,14,4.6402926,3
2,157,Office,5258,1,158,1967,33,3.7208207,3
2,158,Office,10135,1,159,1995,5,4.0058236,3
2,159,Education,9788,1,160,2006,6,3.990694,3
2,160,Entertainment,15786,1,161,2019,19,4.198272,3
2,161,Education,11329,1,162,2006,6,4.0541916,3
2,162,Education,98829,1,163,1975,25,4.9948845,3
2,165,Warehouse,3877,1,166,1982,18,3.5884957,3
