site_id,timestamp,air_temperature,cloud_coverage,dew_temperature,sea_level_pressure,wind_direction,wind_speed
0,2022-01-01 22:00:00,26.7,,18.3,1016.9,230.0,3.1
0,2022-01-01 23:00:00,25.6,,18.3,1017.5,230.0,3.1
0,2022-01-02 00:00:00,24.4,6.0,18.9,1018.1,270.0,2.6
0,2022-01-02 01:00:00,23.9,4.0,18.3,1018.5,300.0,2.1
0,2022-01-02 02:00:00,22.2,,19.4,,360.0,5.7
0,2022-01-02 03:00:00,21.1,,18.9,1019.5,20.0,5.1
0,2022-01-02 04:00:00,20.6,,17.8,1019.4,30.0,4.6
0,2022-01-02 05:00:00,19.4,4.0,17.2,1019.3,20.0,2.6
0,2022-01-02 06:00:00,18.9,6.0,17.2,1019.0,10.0,2.1
0,2022-01-02 07:00:00,18.9,,17.2,1018.4,10.0,2.6
0,2022-01-02 08:00:00,18.9,,16.7,1018.5,360.0,3.6
0,2022-01-02 09:00:00,18.3,,16.7,1018.1,10.0,3.1
0,2022-01-02 10:00:00,18.9,,16.7,1018.1,10.0,5.1
0,2022-01-02 11:00:00,16.7,,13.9,1018.7,20.0,6.2
0,2022-01-02 12:00:00,15.6,8.0,13.3,1019.5,350.0,5.7
0,2022-01-02 13:00:00,15.0,,13.9,1020.0,360.0,4.1
0,2022-01-02 14:00:00,16.1,,13.3,1020.9,360.0,5.1
0,2022-01-02 15:00:00,17.2,,13.3,1021.5,360.0,3.6
0,2022-01-02 16:00:00,17.8,,13.3,1021.5,350.0,3.6
0,2022-01-02 17:00:00,19.4,,11.7,1020.4,360.0,3.6
0,2022-01-02 18:00:00,20.6,6.0,11.7,1018.7,10.0,3.1
0,2022-01-02 19:00:00,22.2,,12.8,1017.6,60.0,3.1
0,2022-01-02 20:00:00,22.8,,13.9,1016.8,20.0,3.1
0,2022-01-02 21:00:00,21.1,,13.9,1017.6,350.0,5.1
0,2022-01-02 22:00:00,20.0,,13.9,1017.9,10.0,4.1
0,2022-01-02 23:00:00,18.9,,13.9,1018.1,10.0,4.6
0,2022-01-03 00:00:00,17.8,8.0,13.9,1018.2,10.0,5.1
0,2022-01-03 01:00:00,16.7,,12.8,1018.6,20.0,6.7
0,2022-01-03 02:00:00,16.7,,12.8,1018.3,20.0,4.1
0,2022-01-03 03:00:00,16.1,,12.8,1018.0,350.0,4.1
0,2022-01-03 04:00:00,16.7,,12.8,1018.3,340.0,5.1
0,2022-01-03 05:00:00,15.6,,12.8,1019.0,330.0,5.1
0,2022-01-03 06:00:00,15.6,8.0,13.3,1018.4,330.0,8.2
0,2022-01-03 07:00:00,15.0,,12.2,1017.9,350.0,6.2
0,2022-01-03 08:00:00,15.0,,12.2,1017.0,350.0,6.7
0,2022-01-03 09:00:00,15.0,,12.2,1016.7,340.0,5.1
0,2022-01-03 10:00:00,14.4,,11.7,1017.0,340.0,4.6
0,2022-01-03 11:00:00,14.4,,12.2,1016.9,350.0,4.1
0,2022-01-03 12:00:00,14.4,8.0,12.2,1017.0,10.0,4.6
0,2022-01-03 13:00:00,14.4,,12.2,1017.9,350.0,6.7
0,2022-01-03 14:00:00,13.3,,11.7,1019.3,340.0,6.7
0,2022-01-03 15:00:00,13.3,,11.7,1019.1,360.0,5.1
0,2022-01-03 16:00:00,13.3,,12.2,1016.7,110.0,5.1
0,2022-01-03 17:00:00,13.3,,12.2,1016.9,350.0,4.6
0,2022-01-03 18:00:00,14.4,8.0,12.8,1016.6,320.0,4.1
0,2022-01-03 19:00:00,15.0,,12.8,1015.6,330.0,2.1
0,2022-01-03 20:00:00,14.4,,12.8,1015.7,310.0,3.1
0,2022-01-03 21:00:00,14.4,,13.3,1015.1,340.0,3.6
0,2022-01-03 22:00:00,13.9,,12.2,1015.0,350.0,5.1
0,2022-01-03 23:00:00,12.8,,11.7,1014.6,340.0,4.1
1,2022-01-01 00:00:00,3.8,,2.4,1020.9,240.0,3.1
1,2022-01-01 01:00:00,3.7,0.0,2.4,1021.6,230.0,2.6
1,2022-01-01 02:00:00,2.6,0.0,1.9,1021.9,0.0,0.0
1,2022-01-01 03:00:00,2.0,0.0,1.2,1022.3,170.0,1.5
1,2022-01-01 04:00:00,2.3,0.0,1.8,1022.7,110.0,1.5
1,2022-01-01 05:00:00,2.4,,2.0,1023.0,100.0,1.0
1,2022-01-01 06:00:00,2.3,,1.8,1023.0,90.0,1.5
1,2022-01-01 07:00:00,2.6,,1.9,1022.5,80.0,1.0
1,2022-01-01 08:00:00,2.2,,1.5,1022.3,60.0,1.0
1,2022-01-01 09:00:00,2.2,,1.2,1022.0,100.0,2.6
1,2022-01-01 10:00:00,4.0,,1.8,1020.9,90.0,4.1
1,2022-01-01 11:00:00,5.4,,1.9,1020.4,120.0,3.6
1,2022-01-01 12:00:00,7.0,,4.4,1019.1,120.0,5.1
1,2022-01-01 13:00:00,7.2,,4.4,1017.6,110.0,5.7
1,2022-01-01 14:00:00,7.4,,4.5,1016.2,100.0,5.1
1,2022-01-01 15:00:00,7.5,,5.6,1014.9,100.0,7.2
1,2022-01-01 16:00:00,7.6,,6.7,1013.8,110.0,5.7
1,2022-01-01 17:00:00,8.0,,7.1,1012.5,120.0,6.7
1,2022-01-01 18:00:00,8.1,,6.5,1011.0,130.0,7.7
1,2022-01-01 19:00:00,8.1,,6.3,1010.2,120.0,8.8
1,2022-01-01 20:00:00,8.2,,6.2,1008.8,120.0,8.2
1,2022-01-01 21:00:00,8.5,,6.1,1007.5,120.0,8.2
1,2022-01-01 22:00:00,8.3,,6.5,1006.4,130.0,8.2
1,2022-01-01 23:00:00,7.9,,7.0,1005.1,130.0,7.2
1,2022-01-02 00:00:00,8.1,,7.4,1004.2,130.0,7.2
1,2022-01-02 01:00:00,8.2,,7.7,1002.4,110.0,8.2
1,2022-01-02 02:00:00,8.5,,8.1,1001.9,120.0,6.7
1,2022-01-02 03:00:00,9.1,,8.2,1001.0,130.0,7.2
1,2022-01-02 04:00:00,9.3,,8.3,1000.0,130.0,7.2
1,2022-01-02 05:00:00,9.6,,8.4,998.9,130.0,8.2
1,2022-01-02 06:00:00,9.7,,8.4,998.3,130.0,7.7
1,2022-01-02 07:00:00,9.4,,8.8,997.9,130.0,8.2
1,2022-01-02 08:00:00,9.7,,8.9,997.5,140.0,7.2
1,2022-01-02 09:00:00,9.9,,9.1,997.6,140.0,7.2
1,2022-01-02 10:00:00,9.8,,9.4,997.3,130.0,6.2
1,2022-01-02 11:00:00,9.9,,9.6,996.7,130.0,7.2
1,2022-01-02 12:00:00,10.1,,9.5,996.0,130.0,8.2
1,2022-01-02 13:00:00,10.0,,9.6,995.1,130.0,7.7
1,2022-01-02 14:00:00,10.0,,9.8,994.3,120.0,8.2
1,2022-01-02 15:00:00,10.2,,10.2,994.3,140.0,5.7
1,2022-01-02 16:00:00,11.2,,11.1,994.7,190.0,5.1
1,2022-01-02 17:00:00,10.9,,10.5,995.4,210.0,6.7
1,2022-01-02 18:00:00,10.9,,10.3,995.9,230.0,7.2
1,2022-01-02 19:00:00,10.4,,9.7,997.0,260.0,8.2
1,2022-01-02 20:00:00,10.1,,9.6,998.3,270.0,6.2
1,2022-01-02 21:00:00,9.9,,9.6,999.2,260.0,8.8
1,2022-01-02 22:00:00,9.9,,9.0,999.9,260.0,7.2
1,2022-01-02 23:00:00,10.0,,9.2,1000.3,250.0,6.2
1,2022-01-03 00:00:00,9.7,,9.2,1001.1,240.0,6.7
1,2022-01-03 01:00:00,9.3,,8.5,1001.4,250.0,9.3
1,2022-01-03 02:00:00,8.5,,7.2,1002.0,250.0,7.7
1,2022-01-03 03:00:00,7.7,,5.7,1002.5,240.0,8.2
1,2022-01-03 04:00:00,6.8,,3.9,1001.7,230.0,5.7
1,2022-01-03 05:00:00,6.3,,3.3,1000.9,190.0,3.6
1,2022-01-03 06:00:00,5.2,,2.5,1000.0,160.0,3.1
1,2022-01-03 07:00:00,5.8,,2.9,998.7,150.0,3.6
1,2022-01-03 08:00:00,6.8,,4.6,997.1,150.0,4.6
1,2022-01-03 09:00:00,7.9,,6.5,995.5,140.0,4.6
1,2022-01-03 10:00:00,8.9,,7.8,993.6,150.0,6.2
1,2022-01-03 11:00:00,9.2,,8.2,991.5,150.0,8.2
1,2022-01-03 12:00:00,9.1,,8.2,989.0,140.0,9.3
1,2022-01-03 13:00:00,8.9,,8.2,987.0,150.0,8.2
1,2022-01-03 14:00:00,8.9,,8.3,984.6,140.0,9.3
1,2022-01-03 15:00:00,9.6,,8.5,984.7,190.0,5.1
1,2022-01-03 16:00:00,9.4,,8.3,984.2,190.0,4.6
1,2022-01-03 17:00:00,8.3,,7.8,984.6,190.0,3.6
1,2022-01-03 18:00:00,8.2,,7.6,984.2,210.0,4.6
1,2022-01-03 19:00:00,8.1,0.0,7.5,983.9,220.0,4.6
1,2022-01-03 20:00:00,7.8,0.0,7.0,984.0,190.0,3.6
1,2022-01-03 21:00:00,7.4,0.0,6.8,984.0,200.0,3.1
1,2022-01-03 22:00:00,6.6,0.0,6.1,984.0,200.0,3.6
1,2022-01-03 23:00:00,6.5,0.0,5.9,983.9,190.0,4.1
2,2022-01-01 00:00:00,15.6,6.0,-5.6,1015.3,270.0,3.6
2,2022-01-01 01:00:00,13.9,,-5.6,1015.6,270.0,4.1
2,2022-01-01 02:00:00,13.3,2.0,-5.6,1016.0,270.0,3.1
2,2022-01-01 03:00:00,12.2,0.0,-6.1,1016.6,280.0,3.1
2,2022-01-01 04:00:00,11.7,2.0,-6.7,1017.0,270.0,3.1
2,2022-01-01 05:00:00,10.0,0.0,-6.7,1017.2,260.0,1.5
2,2022-01-01 06:00:00,9.4,0.0,-6.1,1017.4,0.0,0.0
2,2022-01-01 07:00:00,7.2,0.0,-5.6,1017.3,0.0,0.0
2,2022-01-01 08:00:00,7.2,0.0,-6.7,1017.0,50.0,1.5
2,2022-01-01 09:00:00,6.1,0.0,-5.0,1016.9,0.0,0.0
2,2022-01-01 10:00:00,5.0,0.0,-5.6,1017.4,0.0,0.0
2,2022-01-01 11:00:00,4.4,0.0,-5.6,1017.2,0.0,0.0
2,2022-01-01 12:00:00,4.4,0.0,-5.0,1017.4,0.0,0.0
2,2022-01-01 13:00:00,2.8,0.0,-5.0,1018.0,0.0,0.0
2,2022-01-01 14:00:00,3.3,0.0,-5.0,1018.9,0.0,0.0
2,2022-01-01 15:00:00,3.3,0.0,-3.9,1019.4,0.0,0.0
2,2022-01-01 16:00:00,5.6,0.0,-2.8,1020.0,100.0,1.5
2,2022-01-01 17:00:00,8.3,0.0,-3.3,1020.5,0.0,0.0
2,2022-01-01 18:00:00,10.6,0.0,-4.4,1020.5,0.0,0.0
2,2022-01-01 19:00:00,12.2,0.0,-3.9,1019.8,0.0,0.0
2,2022-01-01 20:00:00,14.4,2.0,-3.3,1018.5,0.0,0.0
2,2022-01-01 21:00:00,16.7,2.0,-1.7,1017.7,0.0,0.0
2,2022-01-01 22:00:00,17.8,2.0,-1.1,1017.4,0.0,0.0
2,2022-01-01 23:00:00,18.9,4.0,-0.6,1017.4,0.0,0.0
2,2022-01-02 00:00:00,18.3,4.0,-0.6,1017.7,270.0,2.6
2,2022-01-02 01:00:00,17.2,4.0,0.0,1018.1,250.0,2.1
2,2022-01-02 02:00:00,14.4,4.0,0.6,1018.9,250.0,2.1
2,2022-01-02 03:00:00,12.2,2.0,0.6,1019.2,210.0,1.5
2,2022-01-02 04:00:00,11.7,0.0,0.6,1019.4,0.0,0.0
2,2022-01-02 05:00:00,11.7,0.0,0.0,1019.8,0.0,0.0
2,2022-01-02 06:00:00,11.1,0.0,0.0,1019.9,0.0,0.0
2,2022-01-02 07:00:00,10.6,0.0,0.6,1019.9,90.0,3.1
2,2022-01-02 08:00:00,11.1,0.0,0.6,1019.9,100.0,3.1
2,2022-01-02 09:00:00,10.0,0.0,0.6,1019.5,100.0,2.6
2,2022-01-02 10:00:00,10.6,0.0,0.6,1019.4,80.0,3.6
2,2022-01-02 11:00:00,11.1,0.0,0.6,1019.4,90.0,4.1
2,2022-01-02 12:00:00,10.0,0.0,0.6,1019.7,110.0,2.1
2,2022-01-02 13:00:00,10.0,0.0,0.6,1019.9,110.0,3.1
2,2022-01-02 14:00:00,9.4,2.0,0.6,1020.2,100.0,3.6
2,2022-01-02 15:00:00,10.6,4.0,0.6,1020.8,90.0,4.1
2,2022-01-02 16:00:00,12.2,4.0,0.0,1020.9,80.0,6.2
2,2022-01-02 17:00:00,14.4,4.0,0.0,1021.3,80.0,7.7
2,2022-01-02 18:00:00,16.1,4.0,0.0,1021.3,70.0,7.7
2,2022-01-02 19:00:00,17.8,2.0,-0.6,1020.5,100.0,5.1
2,2022-01-02 20:00:00,18.9,4.0,-0.6,1018.9,100.0,5.7
2,2022-01-02 21:00:00,20.6,2.0,-0.6,1017.8,100.0,4.1
2,2022-01-02 22:00:00,20.6,2.0,-1.1,1017.1,100.0,3.1
2,2022-01-02 23:00:00,20.6,2.0,-1.7,1016.6,110.0,2.1
2,2022-01-03 00:00:00,20.0,2.0,-1.1,1016.4,70.0,2.6
2,2022-01-03 01:00:00,18.9,2.0,-1.1,1016.4,60.0,3.1
2,2022-01-03 02:00:00,16.7,2.0,-0.6,1016.8,80.0,3.6
2,2022-01-03 03:00:00,15.6,4.0,-0.6,1017.5,90.0,2.6
2,2022-01-03 04:00:00,15.0,4.0,-0.6,1018.2,100.0,2.1
2,2022-01-03 05:00:00,13.9,4.0,0.0,1018.5,110.0,3.1
2,2022-01-03 06:00:00,13.3,4.0,0.6,1018.7,100.0,2.6
2,2022-01-03 07:00:00,12.2,2.0,0.6,1018.4,100.0,3.1
2,2022-01-03 08:00:00,11.7,4.0,0.6,1018.5,130.0,2.1
2,2022-01-03 09:00:00,12.2,,0.6,1018.1,80.0,4.1
2,2022-01-03 10:00:00,11.7,,0.0,1018.2,90.0,2.6
2,2022-01-03 11:00:00,12.2,,0.0,1018.2,100.0,2.6
2,2022-01-03 12:00:00,12.2,6.0,0.0,1017.5,100.0,3.1
2,2022-01-03 13:00:00,12.2,2.0,0.0,1017.3,90.0,4.6
2,2022-01-03 14:00:00,11.7,2.0,0.0,1018.1,90.0,3.6
2,2022-01-03 15:00:00,11.7,4.0,0.0,1018.6,90.0,4.1
2,2022-01-03 16:00:00,13.3,4.0,0.6,1019.1,90.0,5.1
2,2022-01-03 17:00:00,15.6,2.0,0.0,1019.5,80.0,7.2
2,2022-01-03 18:00:00,17.8,2.0,0.0,1018.8,90.0,7.2
2,2022-01-03 19:00:00,18.9,2.0,0.6,1017.8,90.0,4.6
2,2022-01-03 20:00:00,19.4,4.0,0.0,1016.4,60.0,3.6
2,2022-01-03 21:00:00,21.1,4.0,0.0,1014.6,90.0,4.6
2,2022-01-03 22:00:00,21.1,,0.0,1013.7,80.0,5.7
2,2022-01-03 23:00:00,21.1,,-0.6,1013.2,80.0,4.1
